uniqueID,movie_name,video_url,video_title,channel,score,id,official,teaser,days_diff,need_extra_attention,need_to_select_trailer
65,The Hunger Games: Mockingjay - Part 2,https://www.youtube.com/watch?v=SoKIqLEGhI0,The Hunger Games: Mockingjay Part 2 Official Trailer – “Welcome To The 76th Hunger Games”,The Hunger Games,1.0,2,1,,-45,0,0
65,The Hunger Games: Mockingjay - Part 2,https://www.youtube.com/watch?v=7UyEBSLI-0Q,The Hunger Games: Mockingjay Part 2 – Official Trailer in One Week,The Hunger Games,1.0,3,1,,-126,0,0
65,The Hunger Games: Mockingjay - Part 2,https://www.youtube.com/watch?v=R5fyFshAg-8,The Hunger Games: Mockingjay Part 2 Official Featurette – “The Phenomenon”,The Hunger Games,0.86,4,,,-3,0,0
65,The Hunger Games: Mockingjay - Part 2,https://www.youtube.com/watch?v=YddkQoxkZMQ,The Hunger Games: Mockingjay Part 2 Official Trailer – “For Prim”,The Hunger Games,1.0,5,1,,-65,0,0
,,,,,,,,,,,
67,Transformers: Age of Extinction,https://www.youtube.com/watch?v=S30VkLn5a2o,Transformers: Age of Extinction Official Trailer,Transformers,1.0,1,1,,-42,0,0
67,Transformers: Age of Extinction,https://www.youtube.com/watch?v=4F33PCUTWPk,Transformers: Age of Extinction Big Game Spot,Transformers,0.67,2,,1,-145,0,0
67,Transformers: Age of Extinction,https://www.youtube.com/watch?v=31XiNboRw2I,TRANSFORMERS: LA ERA DE LA EXTINCION- Trailer Oficial (HD)- ESPAÑA,Paramount Pictures International,0.33,3,,,-43,0,0
,,,,,,,,,,,
68,The Fate of the Furious,https://www.youtube.com/watch?v=JwMKRevYa_M,The Fate of the Furious - Official Trailer - #F8 In Theaters April 14 (HD),The Fast Saga,1.0,1,1,,-124,0,0
68,The Fate of the Furious,https://www.youtube.com/watch?v=jeKBMdYaM3U,The Fate of the Furious - In Theaters April 14 - Official Trailer #2 (HD),The Fast Saga,1.0,2,1,,-36,0,0
68,The Fate of the Furious,https://www.youtube.com/watch?v=vve9TtFg9wM,The Fate of the Furious - In Theaters April 14 - Official Trailer Tease (HD),The Fast Saga,1.0,3,,1,-126,0,0
,,,,,,,,,,,
71,Fast & Furious 6,https://www.youtube.com/watch?v=C_puVuHoR6o,Fast & Furious 6 - Final Trailer (HD),The Fast Saga,0.75,1,1,,-26,0,0
71,Fast & Furious 6,https://www.youtube.com/watch?v=oc_P11PNvRs,Fast & Furious 6 - Trailer,Universal Pictures,0.75,2,1,,-99,0,0
,,,,,,,,,,,
72,Joker,https://www.youtube.com/watch?v=zAGVQLHvwOY,JOKER - Final Trailer - Now Playing In Theaters,Warner Bros. Pictures,0.67,1,1,,-37,0,0
72,Joker,https://www.youtube.com/watch?v=t433PEQGErc,JOKER - Teaser Trailer - Now Playing In Theaters,Warner Bros. Pictures,0.67,2,,1,-184,0,0
,,,,,,,,,,,
73,Captain America: The Winter Soldier,https://www.youtube.com/watch?v=7SlILk2WMTI,Marvel's Captain America: The Winter Soldier - Trailer 2 (OFFICIAL),Marvel Entertainment,1.0,1,1,,-61,0,0
73,Captain America: The Winter Soldier,https://www.youtube.com/watch?v=tbayiPxkUMM,Marvel's Captain America: The Winter Soldier - Trailer 1 (OFFICIAL),Marvel Entertainment,1.0,2,1,,-161,0,0
,,,,,,,,,,,
